ID_Cliente,Nome,Email,Estado,Data_Cadastro
1,JoÃ£o Silva,joao.silva@email.com,SP,2025-10-01
2,Maria Oliveira,maria.o@email.com,RJ,2025-10-02
3,Pedro Souza,pedro.s@email.com,MG,2025-10-03
4,Ana Costa,ana.c@email.com,SP,2025-10-04
5,Carlos Pereira,carlos.p@email.com,PR,2025-10-05
6,Mariana Santos,mariana.s@email.com,BA,2025-10-06
7,Fernando Lima,fernando.l@email.com,SP,2025-10-07
8,PatrÃ­cia Almeida,patricia.a@email.com,SC,2025-10-08
9,Roberto Gomes,roberto.g@email.com,RS,2025-10-09
10,Juliana Martins,juliana.m@email.com,SP,2025-10-10
11,Ricardo Rocha,ricardo.r@email.com,RJ,2025-10-11
12,Camila Fernandes,camila.f@email.com,MG,2025-10-12
13,Gustavo Carvalho,gustavo.c@email.com,SP,2025-10-13
14,Larissa Ribeiro,larissa.r@email.com,PR,2025-10-14
15,Bruno Dias,bruno.d@email.com,BA,2025-10-15
